date,open,high,low,close,volume
2010-01-04,16.793392181396484,17.38294792175293,16.555187225341797,17.376991271972656,28434434
2010-01-05,17.269800186157227,18.180931091308594,17.269800186157227,18.151155471801758,31542357
2010-01-06,18.448911666870117,18.853858947753906,18.329809188842773,18.47273063659668,36891550
2010-01-07,18.46677589416504,18.639474868774414,18.26430320739746,18.48464012145996,17339077
2010-01-08,18.317899703979492,18.66329574584961,18.103515625,18.550148010253906,12983989
2010-01-11,18.841947555541992,18.841947555541992,18.151155471801758,18.317899703979492,17220355
2010-01-12,18.103515625,18.51441764831543,17.978458404541016,18.377450942993164,17253772
2010-01-13,18.35958480834961,18.562057495117188,17.94868278503418,18.31194305419922,10549607
2010-01-14,18.186885833740234,18.36553955078125,18.06778335571289,18.180931091308594,8923438
2010-01-15,18.186885833740234,18.186885833740234,17.716432571411133,17.859355926513672,16192162
2010-01-19,17.69856834411621,18.294078826904297,17.69856834411621,18.2702579498291,10214768
2010-01-20,18.198795318603516,18.20475196838379,17.752164840698242,18.079694747924805,14336275
2010-01-21,18.026098251342773,18.103515625,17.049461364746094,17.07328224182129,23736783
2010-01-22,16.960134506225586,17.216203689575195,16.51945686340332,16.5313663482666,19016462
2010-01-25,16.787437438964844,17.07328224182129,16.733840942382812,16.91844940185547,13808324
2010-01-26,16.739795684814453,17.120922088623047,16.61473846435547,16.727886199951172,12736806
2010-01-27,16.745750427246094,16.852943420410156,16.382490158081055,16.817211151123047,16535901
2010-01-28,16.91844940185547,16.948225021362305,16.10260009765625,16.299118041992188,15898968
2010-01-29,16.495637893676758,16.92440414428711,16.132375717163086,16.132375717163086,21309957
2010-02-01,16.388444900512695,17.06732749938965,16.316984176635742,17.049461364746094,23020255
2010-02-02,16.62069320678711,16.900583267211914,15.92394733428955,16.41822052001953,47018998
2010-02-03,16.495637893676758,16.72193145751953,16.120464324951172,16.424175262451172,22749059
2010-02-04,16.168106079101562,16.275297164916992,15.739338874816895,15.84653091430664,24798225
2010-02-05,15.727428436279297,16.078779220581055,15.22719955444336,15.792935371398926,36730512
2010-02-08,15.792935371398926,16.031139373779297,15.399897575378418,15.590460777282715,25129538
2010-02-09,15.804844856262207,16.67428970336914,15.727428436279297,16.549232482910156,34145334
2010-02-10,16.41226577758789,16.56709861755371,16.126419067382812,16.382490158081055,18916716
2010-02-11,16.340803146362305,16.65642547607422,16.10260009765625,16.590917587280273,15765469
2010-02-12,16.3110294342041,16.751705169677734,16.10855484008789,16.549232482910156,16810287
2010-02-16,16.692155838012695,16.9720458984375,16.590917587280273,16.960134506225586,14485390
